product_name_clean,date,price,main_category,sub_category,discount
تيست سوسيس بيف فرانكفورت - 250 جرام,2026-05-11,250.0,Fresh Foods,Chilled Food Counter,0.0
الوطنية لانشون بالزيتون - 250 جم,2026-05-11,21.0,Fresh Foods,Chilled Food Counter,0.0
فراخ مدخنة من حلواني,2026-05-11,120.0,Fresh Foods,Chilled Food Counter,0.0
الوطنية لانشون بالزيتون - 1000 جم,2026-05-11,1000.0,Fresh Foods,Chilled Food Counter,0.0
رول لانشون فراخ دايم - 250 جرام,2026-05-11,250.0,Fresh Foods,Chilled Food Counter,0.0
رول لانشون حلواني دجاج - 250جم,2026-05-11,107.0,Fresh Foods,Chilled Food Counter,0.0
تيست بيور لانشون فراخ بالزيتون - 250 جرام,2026-05-11,250.0,Fresh Foods,Chilled Food Counter,0.0
تيست بيور لانشون بالفلفل الأسود - 250 جرام,2026-05-11,250.0,Fresh Foods,Chilled Food Counter,0.0
لانشون قطع صدر ديك رومي,2026-05-11,78.0,Fresh Foods,Chilled Food Counter,0.0
تيست بيور لانشون بيف سادة - 500 جرام,2026-05-11,500.0,Fresh Foods,Chilled Food Counter,0.0
لحم جمبري ممن فريش فارم,2026-05-11,13.0,Fresh Foods,Chilled Food Counter,0.0
فريش فارم لانشون فراخ بالزيتون,2026-05-11,13.0,Fresh Foods,Chilled Food Counter,0.0
طحينة ثيمار - 250 جم,2026-05-11,250.0,Fresh Foods,Chilled Food Counter,0.0
تيست بيور لانشون بالبسطرمة - 250 جرام,2026-05-11,250.0,Fresh Foods,Chilled Food Counter,0.0
ثمار ثومية - 450 جرام,2026-05-11,450.0,Fresh Foods,Chilled Food Counter,0.0
تيست بيور لانشون بيف بالزيتون,2026-05-11,65.0,Fresh Foods,Chilled Food Counter,0.0
تيست بيور لانشون بالفلفل الأسود - 500 جرام,2026-05-11,500.0,Fresh Foods,Chilled Food Counter,0.0
صدور تركي مدخن,2026-05-11,14.0,Fresh Foods,Chilled Food Counter,0.0
لانشون فراخ مدخن من المراعي,2026-05-11,115.0,Fresh Foods,Chilled Food Counter,0.0
ريتش لانشون بيف سادة,2026-05-11,18.0,Fresh Foods,Chilled Food Counter,0.0
حمص ثمار بالطحينة - 450 جرام,2026-05-11,450.0,Fresh Foods,Chilled Food Counter,0.0
زيتون أخضر مخلي من أوليفيتا,2026-05-11,82.0,Fresh Foods,Chilled Food Counter,0.0
لحم بقري فريش فارم محفوظ,2026-05-11,55.0,Fresh Foods,Chilled Food Counter,0.0
جريت فودز لانشون بيف - 1 كيلو,2026-05-11,219.0,Fresh Foods,Chilled Food Counter,0.0
فلفل مكسيكي من أوليفيتا,2026-05-11,17.0,Fresh Foods,Chilled Food Counter,0.0
فلفل هالبينو شرائح من أوليفيتا,2026-05-11,28.0,Fresh Foods,Chilled Food Counter,0.0
أوليفيتا مخلل مشكل,2026-05-11,17.0,Fresh Foods,Chilled Food Counter,0.0
فيشر مان معجون سلمون - 100 جم,2026-05-11,100.0,Fresh Foods,Chilled Food Counter,0.0
زيتون محشى فلفل أسبانى أوليفيتا,2026-05-11,100.0,Fresh Foods,Chilled Food Counter,0.0
الوطنية لانشون بالزيتون - 500 جم,2026-05-11,500.0,Fresh Foods,Chilled Food Counter,0.0
لحم بقري مدخن,2026-05-11,120.0,Fresh Foods,Chilled Food Counter,0.0
فيشرمان معجون الأنشوجة - 100 جرام,2026-05-11,100.0,Fresh Foods,Chilled Food Counter,0.0
لانشون فراخ سادة من اللحيمي,2026-05-11,68.0,Fresh Foods,Chilled Food Counter,0.0
تيست بيور لانشون فراخ بالزيتون - 500 جرام,2026-05-11,500.0,Fresh Foods,Chilled Food Counter,0.0
خيار كارنيشن,2026-05-11,150.0,Fresh Foods,Chilled Food Counter,0.0
إيجي سويس سلامي مجفف - 200 جرام,2026-05-11,200.0,Fresh Foods,Chilled Food Counter,0.0
رول لانشون دايم بقري بالزيتون - 250 جرام,2026-05-11,250.0,Fresh Foods,Chilled Food Counter,0.0
رول لانشون بقري حلواني بالزيتون - 250جم,2026-05-11,107.0,Fresh Foods,Chilled Food Counter,0.0
فريش فارم لانشون بالبسطرمة,2026-05-11,95.0,Fresh Foods,Chilled Food Counter,0.0
لانشون دجاج سادة من حلواني,2026-05-11,87.0,Fresh Foods,Chilled Food Counter,0.0
زيتون بيتي من أوليفيتا,2026-05-11,75.0,Fresh Foods,Chilled Food Counter,0.0
أوليفيتا زيتون مخلل مذاق,2026-05-11,100.0,Fresh Foods,Chilled Food Counter,0.0
ليمون ميكس أوليفتا,2026-05-11,27.0,Fresh Foods,Chilled Food Counter,0.0
أوليفيتا زيتون مذاق لباني,2026-05-11,100.0,Fresh Foods,Chilled Food Counter,0.0
أطياب لانشون بقري - 250 جم,2026-05-11,250.0,Fresh Foods,Chilled Food Counter,0.0
